抄録スクレイピング開始: 2003件
予想時間: 約50分
  [20/2003] 1.0% | 抄録あり: 7 | 漢方処方の構造解析 (第2報)
  [40/2003] 2.0% | 抄録あり: 14 | 神経難病をめぐって
  [60/2003] 3.0% | 抄録あり: 26 | 伝統薬物の科学的解明
  [80/2003] 4.0% | 抄録あり: 37 | 湯液療法における良導絡測定の応用
  [100/2003] 5.0% | 抄録あり: 50 | 非定型精神病の漢方治療
  [120/2003] 6.0% | 抄録あり: 63 | アレルギー性鼻炎の漢方製剤療法
  [140/2003] 7.0% | 抄録あり: 77 | 寸関尺診の3つの様式
  [160/2003] 8.0% | 抄録あり: 90 | 第38回日本東洋医学会学術総会質疑応答
  [180/2003] 9.0% | 抄録あり: 103 | 針治療が著効した心臓神経症の1例
  [200/2003] 10.0% | 抄録あり: 115 | 非定型精神病と君薬の関係
  [220/2003] 11.0% | 抄録あり: 129 | SMON患者における漢方長期投与の効果
  [240/2003] 12.0% | 抄録あり: 144 | 再燃性ヘルペス脳炎後遺精神・神経症状に対し、和漢薬治療を試み
  [260/2003] 13.0% | 抄録あり: 159 | 加味逍遙散による背部痛の鑑別診断
  [280/2003] 14.0% | 抄録あり: 173 | 補中益気湯が奏効した肝癌肺転移の1例
  [300/2003] 15.0% | 抄録あり: 192 | 突発性難聴に対する牛車腎気丸併用療法
  [320/2003] 16.0% | 抄録あり: 207 | 慢性肝疾患とくに肝硬変にみられる硬直性有痛性筋痙攣 (こむら
  [340/2003] 17.0% | 抄録あり: 226 | 併病理論の運用
  [360/2003] 18.0% | 抄録あり: 240 | 人参養栄湯が有効であった肺癌術後嚥下障害 (特に誤嚥) の1
  [380/2003] 19.0% | 抄録あり: 260 | 東西医学の接点 (1)
  [400/2003] 20.0% | 抄録あり: 275 | 血中薬物濃度予測のための最適測定点の選択
  [420/2003] 21.0% | 抄録あり: 294 | 医薬品副作用情報
  [440/2003] 22.0% | 抄録あり: 313 | 東西医学の接点 (2) 中国伝統医学の病理学と西洋医学の病理
  [460/2003] 23.0% | 抄録あり: 325 | 周期性 Adreno-corticotropic Hormo
  [480/2003] 24.0% | 抄録あり: 342 | 桃核承気湯加味方が奏効したアトピー性皮膚炎の4症例
  [500/2003] 25.0% | 抄録あり: 360 | 鍼灸研究の一面
  [520/2003] 26.0% | 抄録あり: 376 | 体外受精失敗後, 補中益気湯及び桂枝茯苓丸の併用で自然妊娠し
  [540/2003] 27.0% | 抄録あり: 393 | 〓苡仁の治疣処方
  [560/2003] 28.0% | 抄録あり: 406 | 尋常性〓瘡における漢方薬の使用経験
  [580/2003] 29.0% | 抄録あり: 422 | 防已黄耆湯加木通車前子による痛風の治療
  [600/2003] 30.0% | 抄録あり: 441 | 黄耆桂枝五物湯の酸化的ストレスに対する抑制効果
  [620/2003] 31.0% | 抄録あり: 459 | 黄耆建中湯および運動療法を併用して機能改善を認めた脊髄小脳変
  [640/2003] 32.0% | 抄録あり: 473 | 和漢薬理35年
  [660/2003] 33.0% | 抄録あり: 486 | 前立腺肥大症術後患者の体力回復に対する人参養栄湯の有用性 -
  [680/2003] 33.9% | 抄録あり: 502 | 内臓脂肪型肥満と漢方医学的所見との関連性
  [700/2003] 34.9% | 抄録あり: 521 | 加味逍遥散が奏功した慢性便秘の四例
  [720/2003] 35.9% | 抄録あり: 531 | 学会シンポジウム
  [740/2003] 36.9% | 抄録あり: 547 | 学会シンポジウム
  [760/2003] 37.9% | 抄録あり: 562 | エビデンスにもとづく補完代替医療
  [780/2003] 38.9% | 抄録あり: 568 | 学会シンポジウムその2
  [800/2003] 39.9% | 抄録あり: 580 | 医療制度改革の課題と視点について
  [820/2003] 40.9% | 抄録あり: 596 | 学会シンポジウム
  [840/2003] 41.9% | 抄録あり: 611 | 敗血症治療に黄耆建中湯が有効であった一例
  [860/2003] 42.9% | 抄録あり: 626 | 呼吸器疾患の漢方治療
  [880/2003] 43.9% | 抄録あり: 634 | 学会シンポジウムその5
  [900/2003] 44.9% | 抄録あり: 650 | モンゴルの伝統医学と薬用植物
  [920/2003] 45.9% | 抄録あり: 665 | 漢方治療にて対応しえた気管支喘息発作の二症例
  [940/2003] 46.9% | 抄録あり: 682 | 学会シンポジウム
  [960/2003] 47.9% | 抄録あり: 696 | 訂正・補足
  [980/2003] 48.9% | 抄録あり: 710 | 睡眠時無呼吸症候群 (SAS) に対する補中益気湯エキスの効
  [1000/2003] 49.9% | 抄録あり: 728 | アジュバント関節炎ラットに対する低周波置鍼療法 (筋パルス)
  [1020/2003] 50.9% | 抄録あり: 746 | 病名治療でできる漢方, 随証治療だからできる漢方
  [1040/2003] 51.9% | 抄録あり: 763 | 竜骨湯が著効したパニック障害の一例
  [1060/2003] 52.9% | 抄録あり: 779 | 統合医療の科学技術戦略
  [1080/2003] 53.9% | 抄録あり: 797 | 当帰芍薬散は免疫不育症に臨床的に有効か？
  [1100/2003] 54.9% | 抄録あり: 815 | 防已黄耆湯の使用目標に関する一考察
  [1120/2003] 55.9% | 抄録あり: 835 | 奈良県立医科大学における東洋医学に対する意識調査（3）
  [1140/2003] 56.9% | 抄録あり: 853 | 東洋医学論文をいかに書くべきか？
  [1160/2003] 57.9% | 抄録あり: 869 | 桂枝加苓朮附湯の関節外症状への応用
  [1180/2003] 58.9% | 抄録あり: 889 | 浮脈を呈する症例に対する苓甘姜味辛夏仁湯治験
  [1200/2003] 59.9% | 抄録あり: 907 | 乳糖コーティング漢方エキス製剤による乳糖不耐症の頻度について
  [1220/2003] 60.9% | 抄録あり: 924 | リウマチ性多発筋痛症に対する漢方治療経験
  [1240/2003] 61.9% | 抄録あり: 942 | 通脈四逆湯の附子を烏頭に変更し奏効した2例
  [1260/2003] 62.9% | 抄録あり: 962 | 心拍変動パワースペクトル解析からみた更年期障害女性の症状と自
